Mineral,Country,Continent,Production,Reserves
Lithium,Australia,Oceania,61000,79000000
Lithium,Chile,South America,39000,11000000
Lithium,China,Asia,19000,68000
Lithium,Argentina,South America,6200,20000000
Lithium,Brazil,South America,2200,730000
Lithium,Zimbabwe,Africa,800,690000
Lithium,Portugal,Europe,600,270000
Lithium,Canada,North America,500,2900000
Nickel,Indonesia,Asia,1600000,21000000
Nickel,Philippines,Asia,330000,4800000
Nickel,Russia,Europe,220000,7100000
Nickel,New Caledonia,Oceania,190000,7000000
Nickel,Australia,Oceania,160000,21000000
Nickel,Canada,North America,130000,2200000
Nickel,China,Asia,110000,16000000
Nickel,Brazil,South America,100000,16000000
Cobalt,DR Congo,Africa,130000,4000000
Cobalt,Indonesia,Asia,10000,600000
Cobalt,Russia,Europe,8900,250000
Cobalt,Australia,Oceania,5900,1500000
Cobalt,Canada,North America,3900,220000
Cobalt,Cuba,North America,3800,500000
Cobalt,Philippines,Asia,3800,260000
Cobalt,Madagascar,Africa,3000,100000
Graphite,China,Asia,850000,52000000
Graphite,Mozambique,Africa,170000,25000000
Graphite,Madagascar,Africa,110000,26000000
Graphite,Brazil,South America,87000,74000000
Graphite,South Korea,Asia,17000,1800000
Graphite,Canada,North America,15000,N/A
Graphite,Russia,Europe,15000,14000000
Graphite,Norway,Europe,10000,600000
Manganese,South Africa,Africa,7200000,640000000
Manganese,Gabon,Africa,4600000,67000000
Manganese,Australia,Oceania,3100000,620000000
Manganese,China,Asia,990000,32000000
Manganese,India,Asia,940000,48000000
Manganese,Brazil,South America,400000,17000000
Manganese,Ukraine,Europe,400000,14000000
Manganese,Russia,Europe,340000,2000000
